,info
17,"Pflanzenforschung durchführen, Sammeln und Auswerten von Daten über Pflanzen, um ihre grundlegenden Aspekte wie Ursprung, Anatomie und Funktion zu erforschen."
18,"Wärmepumpe installieren, Installieren von Wärmepumpen, die die physikalischen Eigenschaften von Kältemitteln nutzen, um Wärme aus der Umgebungsluft zu extrahieren und sie in einer wärmeren Umgebung wieder freizusetzen, im Gegensatz zu einer spontanen Wärmezufuhr. Schaffen der erforderlichen Öffnungen und Installieren der Innen- und Außenteile der Wärmepumpe. Anschließen der Stromleitungen und Kabelkanäle sowie Konfigurieren der Wärmepumpe."
19,"Biomasseanlagen planen, Planung des Biomasse-Energiesystems. Bestimmung der Grenzen der Konstruktion, z. B. des benötigten Platzes und des Gewichts. Berechnen von Indikatoren wie Kapazität, Durchfluss und Temperaturen. Erstellen detaillierter Beschreibungen und Zeichnungen des Entwurfs.
	"
20,"Bedienen von Geräten bei Arbeiten am Seil, Sicheres Bedienen von Geräten bei Tätigkeiten in großer Höhe unter Absicherung mit einem Seil. Vor Beginn der Tätigkeit Einnehmen einer sicheren und stabilen Position. Nach Beendigung der Tätigkeit sicheres Verstauen der Ausrüstung, in der Regel durch Befestigung an einer Gurtschließe."
21,"Kenntnisse in Haushaltsführung vermitteln, Vermitteln von Kenntnissen im Bereich der Haushaltsführung sowie von handwerklichen Fertigkeiten mit dem Ziel, die tägliche Arbeit und die Lebensumstände zu verbessern."
22,"Lokomotiven überprüfen, Sicherstellen, dass Lokomotiven vor Fahrtantritt den Vorschriften entsprechen."
23,"öffentliche Maßnahmen beeinflussen, Kommunizieren mit politischen Entscheidungsträgern und ihnen Daten zur Verfügung stellen, um sie davon zu überzeugen, Rechtsvorschriften zu ändern oder Mittel für ein bestimmtes Anliegen bereitzustellen.
	"
24,"Unternehmensrisikomanagement, Eine auf einem Plan basierende Unternehmensstrategie, die darauf abzielt, Gefahren, Risiken und andere potenzielle Katastrophen, sowohl physisch als auch im übertragenen Sinne, die den Betrieb und die Ziele eines Unternehmens beeinträchtigen können, zu identifizieren, zu bewerten und sich darauf vorzubereiten.
	"
25,"Zutaten herstellen, Herstellen von Zutaten wie Gewürzen, Zusatzstoffen und Gemüse."
26,"Zuchtteiche von Aquakulturen instand halten, Reinigen der Geräte und Behandlungswerkzeuge. Entleeren und Reinigen von Zuchtteichen mit Bürsten, Chemikalien und Wasser. Vorbereiten der Halteeinrichtungen auf das Einsetzen der Fische, Austauschen der Netze. Kontrolle durch Schwimmer. Aufstocken des Fischbestands in den Halteeinrichtungen. Einsammeln von Fischkadavern in den Halteeinrichtungen."
27,"Kreditrisikopolitik anwenden, Umsetzen der Unternehmenspolitik und -vorschriften im Rahmen des Kreditrisikomanagements. Dauerhaftes Halten des Kreditrisikos des Unternehmens auf einem kontrollierbaren Niveau und Ergreifen von Maßnahmen zur Vermeidung von Kreditausfällen."
28,"Kundenanfragen in Bezug auf Fracht bearbeiten, Bearbeiten der Anfragen von Hafennutzern und Kunden im Zusammenhang mit Containern, Versandregelungen oder Fracht."
29,"wissenschaftliche oder akademische Arbeiten und technische Unterlagen verfassen, Verfassen und Bearbeiten von wissenschaftlichen, akademischen oder technischen Texten zu verschiedenen Themen.
    "
30,"inkrementelle Entwicklung, Das Modell der inkrementellen Entwicklung ist eine Methode zur Entwicklung von Softwaresystemen und Anwendungen."
31,"Hilfsmittel für Alltagsarbeiten, Arten von Spezialausrüstung, Prothesen und Orthesen, die für die Durchführung täglicher Tätigkeiten verwendet werden, z. B. Rollstühle."
32,"Sägetechniken, Verschiedene Sägetechniken zur Verwendung manueller und elektrischer Sägen."
33,"Bestandteile von Gitarren herstellen, Auswählen der geeigneten Tonhölzer, Materialien und Werkzeuge und Herstellen der verschiedenen Gitarrenbestandteile wie die Decke, das Griffbrett, die Kopfplatte, der Hals und der Steg."
34,"landwirtschaftliche Maschinen bedienen, Bedienen motorisierter landwirtschaftlicher Geräte, einschließlich Traktoren, Ballenpressen, Pflanzenschutzgeräten, Pflügen und anderen Geräten zur Bodenbearbeitung, Mähern, Mähdreschern, Lastkraftwagen und Bewässerungsanlagen."
35,"den Sprengstoff- und Feuerwerkskörperbestand kontrollieren, Überprüfen der Verfallszeit des Bestands, um bereits abgelaufene Pyrotechnik auszusortieren. Einfügen in spezielle Metallbehälter zur weiteren Verarbeitung.
   "
36,"Kundenzufriedenheit gewährleisten, Professioneller Umgang mit den Erwartungen der Kunden, Antizipieren und Erfüllen ihrer Bedürfnisse und Wünsche. Bereitstellen eines flexiblen Kundendienstes, um Kundenzufriedenheit und Kundenbindung zu gewährleisten."
37,"Kleidungsprodukte herstellen, Herstellen von Massenware oder maßgeschneiderter Bekleidung verschiedener Art, Verbinden und Zusammenfügen von Bekleidungskomponenten durch Nähen, Kleben oder Heißkleben. Verbinden von Bekleidungskomponenten mithilfe von Nähten, z. B. Kragen, Ärmel, Vorderteil, Rückenteil, Taschen."
38,"Tabakblätter härten, Entfernen der Feuchtigkeit aus den Tabakblättern unmittelbar nach der Ernte durch verschiedene Verfahren wie Lufttrocknung, Heißluft-/Röhrentrocknung oder Sonnentrocknung."
39,"ein Rehabilitationsprogramm entwickeln, Entwickeln eines Rehabilitationsprogramms, das den Patienten dabei hilft, ihre Fähigkeiten wiederzuerlangen und wieder an Selbstvertrauen zu gewinnen."
40,"Bestand an Reinigungsmitteln aufrechterhalten, Kontrollieren des Bestands an Reinigungsmitteln, Bestellen neuen Materials, wenn der Lagerbestand aufgebraucht ist und Überwachen des Verbrauchs, um eine konstante Verfügbarkeit zu gewährleisten.
   "
41,"Kaltvulkanisation, Technik zur Reparatur defekter Reifen, insbesondere Fahrradreifen, bestehend aus dem Schleifen der Oberfläche um den Riss, dem Auftragen einer Vulkanisierungslösung und der Befestigung eines Flickens auf dem Riss."
42,"die Haushaltsführung beaufsichtigen, Beaufsichtigen der täglichen Service- und Reinigungsarbeiten in Zimmern und öffentlichen Räumen, um den kontinuierlichen Betrieb zu gewährleisten."
43,"bei einer Gerätestörung als Ansprechperson agieren, Funktion als Ansprechperson, die im Falle einer Gerätestörung zu kontaktieren ist. Mitwirken an der Untersuchung durch die Bereitstellung wertvoller Einblicke."
44,"Zeitabläufe im Landschaftsbau managen, Planen und Umsetzen von Arbeitsplänen zur Abstimmung der Aktivitäten im Landschaftsbau, einschließlich der Briefing-Phase, in der das Landschaftsprojekt mit dem Kunden erörtert wird, gefolgt von einer Reihe von Skizzen, Plänen und Entwürfen."
45,"Beratung zu Zollbestimmungen leisten, Bereitstellen von Informationen über Einfuhr- und Ausfuhrbeschränkungen, Zollsysteme und andere zollrelevante Themen.
	"
46,"universitären Fachbereich verwalten, Beaufsichtigen und Bewerten der Förderpraktiken der Universität, des Wohlergehens der Studierenden und der Leistungen der Lehrkräfte."
47,"Terminologiedatenbanken entwickeln, Nach Überprüfung ihrer Legitimität Zusammentragen und Übermitteln von Begriffen, um Terminologiedatenbanken in einer Vielzahl von Bereichen aufzubauen."
48,"Nährwerteigenschaften von Lebensmitteln bewerten, Bewertung des Nährwerts von Lebensmitteln, einschließlich des Anteils an Fetten, Kohlenhydraten, Zucker und Vitaminen, um zu einer besseren, gesunden Ernährung beizutragen.
	"
49,"Elektrofahrräder instand setzen, Überprüfen der Funktionsweise der elektrischen Komponenten, Kabel und Sicherungen. Überprüfen auf Schäden und Störungen und Ermitteln der Ursache. Demontage und Reparatur von Fahrradkomponenten, z. B. Zusatzantriebe, Schaltungen, Stromversorgungssysteme und Beleuchtung. Anpassen der mechanischen und elektronischen Schaltungen, der Antriebe, der Bremssysteme und der Bauteile des Fahrradrahmens. Überprüfen der Schmiermittel und Betriebsflüssigkeiten dahin gehend, ob Flüssigkeiten ausgetauscht oder nachgefüllt werden müssen."
50,"Sortierausrüstung warten, Routinemäßiges Warten und Durchführen kleinerer Reparaturen an der für die Sortierung von Abfällen und recycelbaren Materialien eingesetzten Ausrüstung."
51,"die Ausstattung des Gästezimmers erklären, Erläutern der Unterbringungsmöglichkeiten von Gästen und Demonstrieren der Nutzung."
52,"Arten von Gerste, Die verschiedenen Arten von Gerste; ihre Merkmale und ihre Qualität."
53,"KDevelop, Das Computerprogramm KDevelop ist eine Suite von Softwareentwicklungswerkzeugen für Schreibprogramme, z. B. Compiler, Debugger, Code-Editor und Code-Highlights, die in einer einheitlichen Benutzeroberfläche verpackt sind. Es wird von der Softwaregemeinschaft KDE entwickelt."
54,"Fahrzeugteile kaufen, Bestellen spezieller Teile, die für die Wartung und Reparatur einer Vielzahl von Fahrzeugen erforderlich sind.
	"
55,"Offshorebauwerke untersuchen, Regelmäßige Inspektion während und nach dem Bau von Offshore-Anlagen wie Ölplattformen, um die Risikominimierung und die Einhaltung der Vorschriften sicherzustellen."
56,"Patienten/Patientinnen in medizinische Einrichtungen transportieren, Hilfe beim Heben und Tragen von Patienten in das Rettungsfahrzeug und bei der Ankunft in der medizinischen Einrichtung."
57,"Umschlagzuschnitt einstellen, Sicherstellen, dass die richtigen Vorgaben für die Fensterung (Zuschnitt und Einfügen der Fensterfolie) berücksichtigt werden. Aufbringen der Gummierung auf der Umschlagsilhouette und im Fensterbereich durch die Maschine. Anpassen des Umschlags in Bezug auf Fenster, Gummierung, Falz und Glattheit der Oberfläche einzustellen."
58,"Öle vorbereiten, Auswählen, Mischen und Kombinieren der geeigneten Öle für den Kunden, um individuelle Mixturen für die spezifischen Bedürfnisse der Kunden zu erstellen, Führen von Aufzeichnungen über die Behandlungen und die im Rahmen der Therapie eingesetzten Ölmischungen."
59,"Vorräte einkaufen, Einkaufen und Aufstocken von Vorräten; Sicherstellen, dass alle benötigten Waren vorhanden sind."
60,"bei der Konzeption von Lebensmitteln Exzellenz anstreben, Versuchen, Lebensmittel in möglichst hoher Qualität zu entwickeln."
61,"bei Reinigungsarbeiten persönliche Hygienestandards wahren, Im Einklang mit den für die betreffende Tätigkeit oder Organisation geltenden Vorschriften für die Sicherheit und den Gesundheitsschutz sicherstellen, dass bei der Durchführung von Reinigungstätigkeiten die persönliche Hygiene und Sauberkeit gewährleistet ist und eine entsprechende Schutzausrüstung getragen wird."
62,"mit Schreibkräften in Kontakt stehen, Bereitstellen von Informationen in Bezug auf die Adressaten, das geeignete Format, die Anzahl der erforderlichen Kopien usw., damit die Schreibkräfte die endgültigen Dokumente fertigstellen können."
63,"Eisenbahnbetrieb beurteilen, Überprüfen und Untersuchen der vorhandenen Ausrüstungen, Anlagen, Systeme und Verfahren im Schienenverkehr, um die Sicherheit und Effizienz der Eisenbahn zu verbessern, die Qualität zu erhöhen und die Kosten zu senken."
64,"Extremsportarten ausüben, Ausüben von Sportarten, bei denen davon auszugehen ist, dass sie ein hohes Maß an inhärenter Gefahr aufweisen und mit Geschwindigkeit, Höhe, starker körperlicher Anstrengung und hoch spezialisierter Ausrüstung verbunden sind."
65,"Maßnahmen zur Förderung der biologischen Vielfalt und des Tierschutzes ergreifen, Verhaltensweisen an den Tag legen, die zur Erhaltung stabiler Ökosysteme und zur Bekämpfung des Massensterbens beitragen, z. B. durch bewusste Ernährungsentscheidungen, die die ökologische Lebensmittelerzeugung und den Tierschutz unterstützen.
  "
66,"Betreuungspersonen für Kinder am Drehort bereitstellen, Sicherstellen, dass bei der Arbeit mit Minderjährigen stets eine Betreuungsperson am Drehort anwesend ist."
67,"Arbeitsvorgänge organisieren, Organisieren, Zuweisen und Koordinieren der Teammitglieder. Organisieren von Produktionsprogrammen und Planen von Produktion und Absatz. Beschaffen von Material und Ausrüstung. Verwalten der Bestände."
68,"Glasgravur-Werkzeug verwenden, Abhängig von der Art des Glases oder der Glaswaren Verwenden von Gravurwerkzeugen mit Stahl-, Stein- oder Kupferrädern."
69,"Abrissbirne steuern, Einsatz einer Abrissbirne, um ein Gebäude oder Teile davon abzureißen. Anheben der Abrissbirne mithilfe eines Krans. Schwingen oder Pendeln der Abrissbirne, bis sie auf die abzureißende Struktur trifft. Vermeiden von Fehlversuchen, da das Gewicht und die Dynamik der Abrissbirne den Kran destabilisieren können."
70,"Stoffqualität bewerten, Bewerten von Nähten, Konfektionen, Aufnähern, Verschlüssen, Verzierungen, Stoffschattierungen, Mustertreue und -übereinstimmung, Bändern und Futtern."
71,"Rückerstattungen beantragen, Anfragen beim Lieferanten, um Waren zurückzusenden oder zu tauschen oder eine Rückerstattung zu erhalten."
72,"Durchführbarkeitsstudie für Gebäudemanagementsysteme ausführen, Bewertung und Einschätzung des Potenzials eines Gebäudemanagementsystems durchführen. Durchführung einer standardisierten Studie zur Ermittlung des Energieeinsparungsbeitrags, der Kosten und der Einschränkungen sowie Durchführung von Untersuchungen zur Unterstützung des Entscheidungsfindungsprozesses.
	"
73,"Absorb (Lernmanagementsysteme), Das Lernsystem Absorb ist eine E-Learning-Plattform zur Schaffung, Verwaltung und Bereitstellung von E-Learning-Kursen oder Schulungsprogrammen für Schüler der Sekundarstufe."
74,"administrative Aufgaben für kleine Schiffe wahrnehmen, Erfüllen administrativer und arbeitsrechtlicher Anforderungen. Planen der Bereitstellung, des Empfangs und des Verladens von Waren. Freigeben des Schiffs gemäß den geltenden Vorschriften."
75,"Inhaltsstoffe von Kosmetika, Eine Vielzahl von Kosmetika besteht aus Inhaltsstoffen wie zerkleinerten Insekten bis hin zu Rost."
76,"Erfahrungen im Umgang mit der Sicherheit von Gästen, Merkmale von menschlichem Verhalten und menschlicher Interaktion und Dynamik zur Gewährleistung der Sicherheit von Gästen."
77,"zu Baumaterialien beraten, Anbieten einer Beratung und Testen verschiedener Baumaterialien."
78,"rotierende Ausrüstungen warten, Routinemäßiges Warten rotierender Ausrüstungen, um sicherzustellen, dass sie sauber, sicher und funktionsfähig sind."
79,"Freiwillige im Secondhandladen leiten, Koordinieren von Freiwilligen, die in einem Second-Hand-Laden arbeiten."
80,"Pumpvorrichtungen für Einlagerungszwecke, Lagerung von Tanks oder anderen Anlagen zur Verarbeitung von gebleichtem Zellstoff für weitere Schritte im Papierherstellungsverfahren.
	"
81,"biomedizinische und medizinische Wissenschaften im Zusammenhang mit der Zahnmedizin, Verhaltenskomponente und soziales Umfeld, die die Gesundheit des Menschen beeinflussen, in Bezug auf die Zahnmedizin."
82,"Details des Gussverfahrens beobachten, Begleiten von Gießarbeiten in der Metallbearbeitung, um den Besonderheiten und Qualitätsaspekten der Gusse und der Gussformen Rechnung zu tragen."
83,"biomedizinische Wissenschaften, Grundsätze der Naturwissenschaften auf die Medizin angewandt. Medizinwissenschaften, wie die medizinische Mikrobiologie und klinische Virologie, wenden die Grundsätze der Biologie für medizinische Kenntnisse und Erfindungen an."
84,"bei Produktkenntnis auf dem Laufenden halten, Zusammenstellen der neuesten Informationen über Entwicklungen im Zusammenhang mit vorhandenen oder unterstützten Produkten, Methoden oder Techniken."
85,"Ungarisch schreiben, Verfassen schriftlicher Texte in ungarischer Sprache."
86,"Bohrspülung überwachen, Überwachen und Warten der Bohrspülung, auch Bohrschlamm genannt. Hinzufügen verschiedener Chemikalien zu der Flüssigkeit, um verschiedene Funktionen bei Bohrungsarbeiten zu erfüllen: Kühlen der Bohrerspitze, Aufbauen von hydrostatischem Druck usw."
87,"Effizienzpläne für die Seeschifffahrt entwickeln, Sicherstellen einer möglichst effizienten Nutzung der Laderäume und Schiffsbewegungen; Überwachen der Anzahl der vorhandenen Kräne und Dockplätze und Bewerten des physischen Zustands der Schiffe und der Auswirkungen des Frachtgewichts auf die Stabilität der Schiffe."
88,"Verpackungsmaschinen bedienen, Bedienen von Verpackungsmaschinen wie Füll-, Etikettierungs- und Verschließmaschinen. Erfassen der Bestände und Sortieren der Produkte, die gemäß Spezifikationen verarbeitet werden sollen. Auffüllen der erforderlichen Verpackungsmaterialien wie Kisten, Kartons, Packpapier, Plastikfolien, Klebstoff, Tinte oder Etiketten."
89,"über den Umgang mit Tonprodukten aufklären, Beraten anderer Arbeitnehmer bezüglich der Abdeckung von Endprodukten mit Planen."
90,"Bohrausrüstung warten, Warten und Reparieren verschiedener Arten von Bohrausrüstung."
91,"Baumkrankheiten bekämpfen, Identifizieren von kranken oder unerwünschten Bäumen. Entfernen dieser Bäume mit Motor- oder Handsägen."
92,"das künstlerische Konzept anhand des Geschehens auf der Bühne analysieren, Analysieren des künstlerischen Konzepts, der Art und Struktur einer Live-Darbietung auf der Grundlage von Beobachtungen während der Proben oder Improvisationen. Schaffen einer strukturierten Basis für die Konzeption einer bestimmten Produktion."
93,"Datenbestand migrieren, Anwenden von Migrations- und Umwandlungsmethoden auf vorhandene Daten, um Daten zwischen Formaten, Speichern oder Computersystemen zu übertragen oder umzuwandeln."
94,"Lieferungen organisieren, Überwachen und Kontrollieren des Lieferflusses, der den Erwerb, die Lagerung und die Beförderung der Rohstoffe in der erforderlichen Qualität sowie die Bestandsaufnahme umfasst. Steuern der Lieferkettenaktivitäten und Abstimmen des Angebots anhand der Nachfrage auf Produktions- und Kundenseite."
95,"menschliche Faktoren im Bereich Sicherheit, Erwägungen und Auswirkungen auf die Sicherheit des Menschen."
96,"Dachwartungsarbeiten durchführen, Empfehlen und Ausführen von Wartungs- und Reparaturarbeiten, wie z. B. die Reparatur gebrochener Schindeln, den Austausch von Dachbahnen, die Beseitigung von Schutt und die Absicherung der Regenrinnen.
	"
97,"Kocherarten, Dazu gehören stationäre und rotierende Dampfkocher, die Holzschnitzel in einer Säurelösung kochen, um Zellstoff für die Papierherstellung zu gewinnen."
98,"physische Datenbankstruktur definieren, Angeben der physischen Konfiguration der Datenbankdateien auf einem bestimmten Medium. Hierbei handelt es sich um detaillierte Spezifikationen für die Indizierungsoptionen, Datentypen und Datenelemente in einem Datenkatalog."
99,"Steine verlegen, Verlegen von Steinblöcken oder Pflastersteinen, die im Voraus auf die richtige Größe und Dicke zugeschnitten wurden, um Steinmauern und -treppen zu errichten, Gehwege zu verlegen oder Tür- und Fensterrahmen einzupassen."
100,"Zirkustakelage montieren, Aufbauen und Errichten von Zirkustakelage anhand einer Anleitung, technischen Anweisungen oder einer Beschreibung."
101,"Dokumentation von Bewertungen früherer Lernerfahrungen verwalten, Vereinbarung der zu bewertenden Kompetenzen. Erstellung des Bewertungsprotokolls und Entwicklung von Vorlagen für die Aufzeichnung der Bewertungsentscheidungen. Erstellung eines Kommunikationsplans. Verteilung einschlägiger Bewertungsunterlagen an Behörden, Kunden oder Kollegen gemäß diesem Plan.
	"
102,"Mund-und Zahngesundheitsdiagnostik betreiben, Abfragen von Informationen zum Stand der Mundhygiene, Durchführen einer Untersuchung, Durchführen von bildgebenden Untersuchungen und Analyse der Befunde, um eine Diagnose zu stellen."
103,"Geoinformatik, Wissenschaftliche Disziplin für das Studium der Erhebung, Speicherung und Verarbeitung geografischer Informationen."
104,"Kontaminationsschutzvorschriften, Vorschriften über die Exposition gegenüber kontaminierten Materialien oder einem gefährlichen Umfeld, mit denen die Maßnahmen im Zusammenhang mit der Risikobewertung, der Minimierung der weiteren Exposition, der Quarantäne und der Behandlung exponierter Personen geregelt sind."
105,"Maltego, Die Plattform Maltego ist eine forensische Anwendung, bei der Data Mining verwendet wird, um einen Überblick über die Organisationsumgebung zu erhalten, Sicherheitslücken des Systems auf potenziell unbefugten Zugriff zu testen und die Komplexität von Infrastrukturausfällen zu belegen."
106,"in Archiven historische Quellen suchen, Durchsuchen von Archiven, um die für die historische Forschung benötigten Quellen zu ermitteln."
107,"Kampfszenen überwachen, Vermitteln von Erwartungen und Zielvorgaben, Übermitteln der Kampfsequenzen, der technischen Aspekte der Kampfdisziplin usw. Unterstützen der ausübenden Künstler/Tänzer bei der Verinnerlichung der Kampfsequenzen und -techniken. Beobachten der Künstler/Tänzer in der Praxis, Bereitstellen von Motivation und Unterstützung, damit sie ihr Potenzial vollständig ausschöpfen können. Sensibilisieren der ausübenden Künstler für die damit verbundenen Risiken. Motivieren der ausübenden Künstler, die Kämpfe zu proben."
108,"Filmskript erstellen, Erstellen eines Dokuments mit der Bezeichnung „Skript“ oder „Storyboard“, mit allen Informationen über die Figuren und Handlungsorte der Geschichte."
109,"Funkgeräte bedienen, Einrichten und Betreiben von Funkgeräten und -zubehör wie Rundfunkkonsolen, Verstärker und Mikrofone. Verstehen der Grundlagen der Funkersprache und bei Bedarf Erteilen von Anweisungen zur korrekten Bedienung von Funkgeräten."
110,"kontaminiertes Material entfernen, Entfernen von durch Gefahrstoffe kontaminierten Materialien und Geräten, um die Umgebung vor einer weiteren Kontamination zu schützen und die kontaminierten Materialien zu reinigen oder zu entsorgen."
111,"Lackqualität prüfen, Kontrollieren der Qualität des Lacks durch Prüfung der Viskosität, Homogenität und anderer Faktoren."
112,"Kartonagengrößen, Unterschiedliche Kartonagengrößen in Europa. Diese werden durch einen 4-stelligen Code definiert und von der Europäischen Vereinigung der Wellpappehersteller (FEFCO) spezifiziert. Die Kartonagengrößen sind eher ein Beispiel für komplizierte und besondere Kartondesigns."
113,"Finanzinformationen über die Immobilie sammeln, Zusammenstellen von Informationen über frühere Transaktionen im Zusammenhang mit der Immobilie, z. B. die Preise, zu denen die Immobilie zuvor verkauft wurde, und die Kosten für Renovierungs- und Reparaturarbeiten, um ein klares Bild vom Wert der Immobilie zu erhalten."
114,"Finanztransaktionen zurückverfolgen, Beobachten, Verfolgen und Analysieren von Finanztransaktionen, die in Unternehmen oder Banken getätigt werden. Bestimmen der Gültigkeit der Transaktion und Überprüfen verdächtiger oder mit hohem Risiko behafteter Transaktionen, um Misswirtschaft zu vermeiden."
115,"zu Veranstaltungen zur Qualität von physiotherapeutischen Dienstleistungen beitragen, Teilnehmen an Aktivitäten zur Förderung der Qualität, insbesondere im Hinblick auf den Erwerb und die Bewertung von Ausrüstung, Ressourcen, sicherem Speicher- und Lieferantenmanagement."
116,"Radiatoren installieren, Installieren von Wärmeaustauscher, die die Umgebung mithilfe von Wärmeenergie kühlen oder aufheizen. Anschließen der Leitungen an das Zentralheizungssystem."
117,"Beratung zu Pflegeprodukten für Haustiere leisten, Bereitstellen von Beratungsleistungen zu grundlegenden Pflegeprodukten wie Nahrungsergänzungen und Vitaminen, die bei verschiedenen Arten von Haustieren verabreicht werden können.
	"
118,"Fernerkundungsanlagen bedienen, Einrichten und Bedienen von Fernerkundungsanlagen wie Radaranlagen, Teleskope und Luftbildkameras, um Informationen über die Erdoberfläche und die Erdatmosphäre zu erhalten."
119,"Treppensteigung und Treppenlauf berechnen, Berechnen der geeigneten Maße für die Steigung und den Lauf jeder Treppe unter Berücksichtigung der Gesamthöhe und der Tiefe der Treppenstufen, der Bodenbeläge und der verschiedenen Treppenabmessungen, die eine komfortable Benutzung ermöglichen."
120,"Erste Hilfe für Tiere, Notfallbehandlung für Tiere, einschließlich der Grundsätze und Ziele der Erste-Hilfe-Behandlung von Tieren."
121,"sich in Outdoor-Gruppen einfühlen, Ermitteln der Outdoor-Aktivitäten, die auf der Grundlage der Bedürfnisse der Gruppe zulässig oder geeignet sind."
122,"Hintergrundinformationen zu Nachrichten zur Verfügung stellen, Bereitstellen eines wesentlichen Kontexts für die Berichterstattung in nationalen oder internationalen Nachrichten, um die Situation näher zu erläutern."
123,"Schaltpläne, Lesen und verstehen von Schaltplänen, aus denen die Verbindungen zwischen Geräten hervorgehen, z. B. Strom und Signalverbindungen."
124,"künstlerische Produktionen ausarbeiten, Erfassen und Dokumentieren einer künstlerischen Produktion in allen Phasen direkt nach der Vorführung, sodass sie wiedergegeben werden kann und alle relevanten Informationen weiterhin zugänglich sind."
125,"Passagier-Serviceeinheiten einbauen, Installieren von Passagier-Serviceeinheiten in der Decke eines Luftfahrzeugs mithilfe von Hand- und Elektrowerkzeugen."
126,"geschriebenes Koreanisch verstehen, Lesen und Verstehen schriftlicher Texte in koreanischer Sprache."
127,"Aufzeichnungen über Feststellungen bei Brückenprüfungen führen, Aufzeichnen der Ergebnisse der Brückenuntersuchungen und Übermitteln an die zuständigen Behörden.
   "
